ID 	 X 	 Y 	 Z 	 Speed 	 LoiterTime 
0	-5.13718	-4.19387	14.2009	1.5	20
1	-4.82339	0.994558	11.8252	1.5	22.3758
2	-3.17764	7.01479	8.26259	1.5	25.9384
3	0.0772394	-5.00795	11.6792	1.5	22.5217
4	5.46182	-4.56923	8.47973	1.5	25.7212
5	1.30937	1.1098	8.36943	1.5	25.8315
6	-2.48183	13.7827	5	1.5	29.2009
7	1.70736	7.29726	5.48273	1.5	28.7182
8	7.33158	0.710865	5.15139	1.5	29.0495
9	12.4457	-6.10749	5.30231	1.5	28.8986
